Field,StrategyOrDate,EWM_COM,Value
Cagr,momentum-score,None,0.41932590645619094
Cagr,momentum-score,2,0.40963188177184406
Cagr,momentum-score,4,0.6094785500232349
Cagr,momentum-score,8,0.8186170260227632
Sharpe,momentum-score,None,1.521993901833192
Sharpe,momentum-score,2,1.2131372835926264
Sharpe,momentum-score,4,1.5906650515813796
Sharpe,momentum-score,8,1.7964355626261614
MaxDrawdown,momentum-score,None,-0.13812008748945526
MaxDrawdown,momentum-score,2,-0.2331065405053221
MaxDrawdown,momentum-score,4,-0.20344495088893022
MaxDrawdown,momentum-score,8,-0.29582584189255257
AbsExposure,momentum-score,None,1.0
AbsExposure,momentum-score,2,1.0
AbsExposure,momentum-score,4,1.0
AbsExposure,momentum-score,8,1.0
NormalizedCagr,momentum-score,None,0.41932590645619094
NormalizedCagr,momentum-score,2,0.40963188177184406
NormalizedCagr,momentum-score,4,0.6094785500232349
NormalizedCagr,momentum-score,8,0.8186170260227632
TotalHoldings,momentum-score,None,4.764705882352941
TotalHoldings,momentum-score,2,5.4183006535947715
TotalHoldings,momentum-score,4,5.458823529411765
TotalHoldings,momentum-score,8,5.798692810457516
AggReturn,2019-01-02 00:00:00,None,0.0130424803951507
AggReturn,2019-01-02 00:00:00,2,-0.0310567751156594
AggReturn,2019-01-02 00:00:00,4,-0.0310570877980647
AggReturn,2019-01-02 00:00:00,8,-0.0050063123796999
AggReturn,2019-01-03 00:00:00,None,0.0033783311372804
AggReturn,2019-01-03 00:00:00,2,0.0092256068544399
AggReturn,2019-01-03 00:00:00,4,0.0142106292388827
AggReturn,2019-01-03 00:00:00,8,0.0142106292388827
AggReturn,2019-01-04 00:00:00,None,0.0017410887846163
AggReturn,2019-01-04 00:00:00,2,0.0140361412426769
AggReturn,2019-01-04 00:00:00,4,0.0219925194161547
AggReturn,2019-01-04 00:00:00,8,0.0219925194161547
AggReturn,2019-01-07 00:00:00,None,-0.0177718262834207
AggReturn,2019-01-07 00:00:00,2,-0.0262898001413433
AggReturn,2019-01-07 00:00:00,4,-0.0371667609892702
AggReturn,2019-01-07 00:00:00,8,-0.0371667609892702
AggReturn,2019-01-08 00:00:00,None,0.0093738064198036
AggReturn,2019-01-08 00:00:00,2,0.0260259805622198
AggReturn,2019-01-08 00:00:00,4,0.0572888909686764
AggReturn,2019-01-08 00:00:00,8,0.0572888909686764
AggReturn,2019-01-09 00:00:00,None,-0.0110068890735777
AggReturn,2019-01-09 00:00:00,2,-0.0427268333300631
AggReturn,2019-01-09 00:00:00,4,-0.0244536813371337
AggReturn,2019-01-09 00:00:00,8,-0.0244536813371337
AggReturn,2019-01-10 00:00:00,None,-0.0160276918104494
AggReturn,2019-01-10 00:00:00,2,0.0268524647569117
AggReturn,2019-01-10 00:00:00,4,-0.0239663879601969
AggReturn,2019-01-10 00:00:00,8,-0.0239663879601969
AggReturn,2019-01-11 00:00:00,None,0.0230482743677161
AggReturn,2019-01-11 00:00:00,2,0.012389160020529
AggReturn,2019-01-11 00:00:00,4,0.030346969238892
AggReturn,2019-01-11 00:00:00,8,0.030346969238892
AggReturn,2019-01-14 00:00:00,None,0.0015855009263873
AggReturn,2019-01-14 00:00:00,2,0.0100829424649905
AggReturn,2019-01-14 00:00:00,4,0.0016275828593397
AggReturn,2019-01-14 00:00:00,8,0.0016275828593397
AggReturn,2019-01-15 00:00:00,None,0.0184461914784737
AggReturn,2019-01-15 00:00:00,2,0.0209436813522529
AggReturn,2019-01-15 00:00:00,4,0.0404943721431505
AggReturn,2019-01-15 00:00:00,8,0.0404943721431505
AggReturn,2019-01-16 00:00:00,None,-0.0038476410208223
AggReturn,2019-01-16 00:00:00,2,-0.0056867289716019
AggReturn,2019-01-16 00:00:00,4,-0.0104264097078904
AggReturn,2019-01-16 00:00:00,8,-0.0104264097078904
AggReturn,2019-01-17 00:00:00,None,0.0492243743471261
AggReturn,2019-01-17 00:00:00,2,0.0509634459703284
AggReturn,2019-01-17 00:00:00,4,0.0743854409799018
AggReturn,2019-01-17 00:00:00,8,0.0743854409799018
AggReturn,2019-01-18 00:00:00,None,-0.0097204332871233
AggReturn,2019-01-18 00:00:00,2,-0.0226466763665626
AggReturn,2019-01-18 00:00:00,4,-0.0153057368211874
AggReturn,2019-01-18 00:00:00,8,-0.0153057368211874
AggReturn,2019-01-22 00:00:00,None,0.0212025664076745
AggReturn,2019-01-22 00:00:00,2,0.0192685640663367
AggReturn,2019-01-22 00:00:00,4,0.0217024951593354
AggReturn,2019-01-22 00:00:00,8,0.0217024951593354
AggReturn,2019-01-23 00:00:00,None,0.0186759155559365
AggReturn,2019-01-23 00:00:00,2,0.0233881914757391
AggReturn,2019-01-23 00:00:00,4,0.0306214625246071
AggReturn,2019-01-23 00:00:00,8,0.0306214625246071
AggReturn,2019-01-24 00:00:00,None,0.0050922657635815
AggReturn,2019-01-24 00:00:00,2,0.0006044668174527
AggReturn,2019-01-24 00:00:00,4,-0.0033533021277403
AggReturn,2019-01-24 00:00:00,8,-0.0033533021277403
AggReturn,2019-01-25 00:00:00,None,-0.0016172163758279
AggReturn,2019-01-25 00:00:00,2,-0.0101426862573047
AggReturn,2019-01-25 00:00:00,4,-0.004242094086051
AggReturn,2019-01-25 00:00:00,8,-0.004242094086051
AggReturn,2019-01-28 00:00:00,None,-0.0055971687995621
AggReturn,2019-01-28 00:00:00,2,0.0061360836484341
AggReturn,2019-01-28 00:00:00,4,0.0036038961283784
AggReturn,2019-01-28 00:00:00,8,0.0036038961283784
AggReturn,2019-01-29 00:00:00,None,-0.0071534153137343
AggReturn,2019-01-29 00:00:00,2,-0.0152897459119675
AggReturn,2019-01-29 00:00:00,4,-0.0201857306124111
AggReturn,2019-01-29 00:00:00,8,-0.0201857306124111
AggReturn,2019-01-30 00:00:00,None,0.0042684169134143
AggReturn,2019-01-30 00:00:00,2,0.0042474275750296
AggReturn,2019-01-30 00:00:00,4,-0.0032945767901434
AggReturn,2019-01-30 00:00:00,8,-0.0032945767901434
AggReturn,2019-01-31 00:00:00,None,0.0062390475890034
AggReturn,2019-01-31 00:00:00,2,8.552889537472019e-05
AggReturn,2019-01-31 00:00:00,4,0.0163832734370055
AggReturn,2019-01-31 00:00:00,8,0.0163832734370055
AggReturn,2019-02-01 00:00:00,None,0.0057564485388309
AggReturn,2019-02-01 00:00:00,2,0.0080623031260322
AggReturn,2019-02-01 00:00:00,4,0.0070045357538024
AggReturn,2019-02-01 00:00:00,8,0.0070051171683303
AggReturn,2019-02-04 00:00:00,None,-0.0194596108215171
AggReturn,2019-02-04 00:00:00,2,-0.0589167407051458
AggReturn,2019-02-04 00:00:00,4,-0.0427332669120888
AggReturn,2019-02-04 00:00:00,8,-0.0214844059219095
AggReturn,2019-02-05 00:00:00,None,0.016385750864048
