Field,StrategyOrDate,EWM_COM,Value
Cagr,momentum-score,None,0.27713589376637926
Cagr,momentum-score,2,0.366410598361516
Cagr,momentum-score,4,0.3653741289221173
Cagr,momentum-score,8,0.5251788737358454
Sharpe,momentum-score,None,1.0162721379239064
Sharpe,momentum-score,2,1.2106550536111134
Sharpe,momentum-score,4,1.201982027305641
Sharpe,momentum-score,8,1.5090238965622753
MaxDrawdown,momentum-score,None,-0.28847960622339397
MaxDrawdown,momentum-score,2,-0.34472155669356996
MaxDrawdown,momentum-score,4,-0.23435144753056325
MaxDrawdown,momentum-score,8,-0.23708800852207135
AbsExposure,momentum-score,None,0.9890453834115805
AbsExposure,momentum-score,2,1.0
AbsExposure,momentum-score,4,1.0
AbsExposure,momentum-score,8,1.0
NormalizedCagr,momentum-score,None,0.28020543689353855
NormalizedCagr,momentum-score,2,0.366410598361516
NormalizedCagr,momentum-score,4,0.3653741289221173
NormalizedCagr,momentum-score,8,0.5251788737358454
TotalHoldings,momentum-score,None,4.589984350547731
TotalHoldings,momentum-score,2,5.663536776212832
TotalHoldings,momentum-score,4,5.588419405320813
TotalHoldings,momentum-score,8,5.674491392801252
AggReturn,2020-07-01 00:00:00,None,0.0206631561344508
AggReturn,2020-07-01 00:00:00,2,0.0063379568855011
AggReturn,2020-07-01 00:00:00,4,0.0071724420535116
AggReturn,2020-07-01 00:00:00,8,0.0098451742350245
AggReturn,2020-07-02 00:00:00,None,0.0136068794874067
AggReturn,2020-07-02 00:00:00,2,0.0078265897004082
AggReturn,2020-07-02 00:00:00,4,0.0142361633341616
AggReturn,2020-07-02 00:00:00,8,0.0015209384599659
AggReturn,2020-07-06 00:00:00,None,-0.004245624762179
AggReturn,2020-07-06 00:00:00,2,-0.0087796299149544
AggReturn,2020-07-06 00:00:00,4,-0.0040995373936929
AggReturn,2020-07-06 00:00:00,8,0.0072304002165546
AggReturn,2020-07-07 00:00:00,None,0.0167325090119875
AggReturn,2020-07-07 00:00:00,2,0.0222455255314565
AggReturn,2020-07-07 00:00:00,4,0.0278069069143206
AggReturn,2020-07-07 00:00:00,8,0.0165945019188158
AggReturn,2020-07-08 00:00:00,None,0.0195352483072289
AggReturn,2020-07-08 00:00:00,2,0.0222246729425383
AggReturn,2020-07-08 00:00:00,4,0.0180484810808493
AggReturn,2020-07-08 00:00:00,8,0.0186551975667768
AggReturn,2020-07-09 00:00:00,None,-0.0039403727450886
AggReturn,2020-07-09 00:00:00,2,-0.0037904080037235
AggReturn,2020-07-09 00:00:00,4,0.000958192526991
AggReturn,2020-07-09 00:00:00,8,-0.002745217345438
AggReturn,2020-07-10 00:00:00,None,-0.0080872963552984
AggReturn,2020-07-10 00:00:00,2,-0.0074307043165628
AggReturn,2020-07-10 00:00:00,4,-0.0105260041580797
AggReturn,2020-07-10 00:00:00,8,-0.007730652923733
AggReturn,2020-07-13 00:00:00,None,0.0011600499245903
AggReturn,2020-07-13 00:00:00,2,0.0020203275030204
AggReturn,2020-07-13 00:00:00,4,0.0137194392295217
AggReturn,2020-07-13 00:00:00,8,0.0065452711725325
AggReturn,2020-07-14 00:00:00,None,-0.0209065609486103
AggReturn,2020-07-14 00:00:00,2,-0.0253747483114513
AggReturn,2020-07-14 00:00:00,4,-0.0275517687226475
AggReturn,2020-07-14 00:00:00,8,-0.0098864234240523
AggReturn,2020-07-15 00:00:00,None,0.0113617762268753
AggReturn,2020-07-15 00:00:00,2,0.0067475873304741
AggReturn,2020-07-15 00:00:00,4,0.0078490040694158
AggReturn,2020-07-15 00:00:00,8,0.0171003772047346
AggReturn,2020-07-16 00:00:00,None,-0.0139311456994838
AggReturn,2020-07-16 00:00:00,2,-0.0146446049059398
AggReturn,2020-07-16 00:00:00,4,-0.0177189016723309
AggReturn,2020-07-16 00:00:00,8,-0.0142346514757848
AggReturn,2020-07-17 00:00:00,None,0.0165546573654004
AggReturn,2020-07-17 00:00:00,2,0.0166353898750725
AggReturn,2020-07-17 00:00:00,4,0.0178668368754565
AggReturn,2020-07-17 00:00:00,8,0.0232488031668488
AggReturn,2020-07-20 00:00:00,None,0.0114184659256842
AggReturn,2020-07-20 00:00:00,2,0.0140735747371505
AggReturn,2020-07-20 00:00:00,4,0.0211464707911064
AggReturn,2020-07-20 00:00:00,8,0.0023111143622068
AggReturn,2020-07-21 00:00:00,None,0.0164690016058332
AggReturn,2020-07-21 00:00:00,2,0.0199498236167931
AggReturn,2020-07-21 00:00:00,4,0.0284419524181877
AggReturn,2020-07-21 00:00:00,8,0.0009012894353421
AggReturn,2020-07-22 00:00:00,None,-0.0268800465332079
AggReturn,2020-07-22 00:00:00,2,-0.0295556092766615
AggReturn,2020-07-22 00:00:00,4,-0.0225435899368408
AggReturn,2020-07-22 00:00:00,8,-0.0231689139743694
AggReturn,2020-07-23 00:00:00,None,0.0059912813939128
AggReturn,2020-07-23 00:00:00,2,0.0035430983256279
AggReturn,2020-07-23 00:00:00,4,-0.009732347136538
AggReturn,2020-07-23 00:00:00,8,0.0077878513235329
AggReturn,2020-07-24 00:00:00,None,-0.0043165923964499
AggReturn,2020-07-24 00:00:00,2,-0.0029538888104203
AggReturn,2020-07-24 00:00:00,4,-0.0221681115903926
AggReturn,2020-07-24 00:00:00,8,0.0039664099226277
AggReturn,2020-07-27 00:00:00,None,0.0119336271242727
AggReturn,2020-07-27 00:00:00,2,0.0184895254800677
AggReturn,2020-07-27 00:00:00,4,0.0187478170745235
AggReturn,2020-07-27 00:00:00,8,0.0216192905618928
AggReturn,2020-07-28 00:00:00,None,0.025109103563854
AggReturn,2020-07-28 00:00:00,2,0.0285224090907059
AggReturn,2020-07-28 00:00:00,4,0.0204245849674434
AggReturn,2020-07-28 00:00:00,8,0.0323205949951692
AggReturn,2020-07-29 00:00:00,None,0.0120347225475988
AggReturn,2020-07-29 00:00:00,2,0.0194411903389632
AggReturn,2020-07-29 00:00:00,4,0.018220406842623
AggReturn,2020-07-29 00:00:00,8,0.0057579280502248
AggReturn,2020-07-30 00:00:00,None,0.0256752083015875
AggReturn,2020-07-30 00:00:00,2,0.0195630637370603
AggReturn,2020-07-30 00:00:00,4,0.025838871222572
AggReturn,2020-07-30 00:00:00,8,0.0182171236603418
AggReturn,2020-07-31 00:00:00,None,0.0227642317091251
AggReturn,2020-07-31 00:00:00,2,0.0379143149530055
AggReturn,2020-07-31 00:00:00,4,0.0467041884570971
AggReturn,2020-07-31 00:00:00,8,0.0112463767220425
AggReturn,2020-08-03 00:00:00,None,-0.0089036657784414
AggReturn,2020-08-03 00:00:00,2,-0.0148151679767821
AggReturn,2020-08-03 00:00:00,4,-0.0095425647327314
AggReturn,2020-08-03 00:00:00,8,0.0054256588408375
AggReturn,2020-08-04 00:00:00,None,0.0513688753057985
AggReturn,2020-08-04 00:00:00,2,0.0404178524348446
AggReturn,2020-08-04 00:00:00,4,0.0458403261004566
AggReturn,2020-08-04 00:00:00,8,0.0458403261004566
AggReturn,2020-08-05 00:00:00,None,-0.0390368215360752
AggReturn,2020-08-05 00:00:00,2,-0.0208834027336245
AggReturn,2020-08-05 00:00:00,4,-0.0284855333869578
AggReturn,2020-08-05 00:00:00,8,-0.0284855333869578
AggReturn,2020-08-06 00:00:00,None,-0.0158465741957358
AggReturn,2020-08-06 00:00:00,2,-0.0144191296612361
AggReturn,2020-08-06 00:00:00,4,-0.0130280249349701
AggReturn,2020-08-06 00:00:00,8,-0.0130280249349701
AggReturn,2020-08-07 00:00:00,None,-0.0326764226450046
AggReturn,2020-08-07 00:00:00,2,-0.0397799408294968
AggReturn,2020-08-07 00:00:00,4,-0.0471010845985226
AggReturn,2020-08-07 00:00:00,8,-0.0471010845985226
AggReturn,2020-08-10 00:00:00,None,0.0108071990355894
