Field,StrategyOrDate,TOP_N_COUNT,Value
Cagr,momentum-score,2,0.31116348062767685
Cagr,momentum-score,4,0.539412896394408
Cagr,momentum-score,6,0.43505230780474413
Cagr,momentum-score,8,0.3026598229787856
Sharpe,momentum-score,2,0.8025360537150578
Sharpe,momentum-score,4,1.3371048361988076
Sharpe,momentum-score,6,1.3584230215513575
Sharpe,momentum-score,8,1.0271135257384667
MaxDrawdown,momentum-score,2,-0.5672111617567536
MaxDrawdown,momentum-score,4,-0.3514214247260089
MaxDrawdown,momentum-score,6,-0.22598860941191468
MaxDrawdown,momentum-score,8,-0.31215453309444585
AbsExposure,momentum-score,2,0.9517716535433071
AbsExposure,momentum-score,4,0.9931102362204725
AbsExposure,momentum-score,6,0.9931102362204725
AbsExposure,momentum-score,8,0.9931102362204725
NormalizedCagr,momentum-score,2,0.3269308131517267
NormalizedCagr,momentum-score,4,0.543155106775737
NormalizedCagr,momentum-score,6,0.43807051013837467
NormalizedCagr,momentum-score,8,0.3047595442482122
TotalHoldings,momentum-score,2,2.607283464566929
TotalHoldings,momentum-score,4,4.844488188976378
TotalHoldings,momentum-score,6,7.125984251968504
TotalHoldings,momentum-score,8,9.458661417322835
AggReturn,2019-01-02 00:00:00,2,-0.0225949865314196
AggReturn,2019-01-02 00:00:00,4,-0.0104666164495534
AggReturn,2019-01-02 00:00:00,6,-0.0037411203568757
AggReturn,2019-01-02 00:00:00,8,4.836458773162877e-05
AggReturn,2019-01-03 00:00:00,2,-0.02289218531966
AggReturn,2019-01-03 00:00:00,4,-0.0140454502626554
AggReturn,2019-01-03 00:00:00,6,-0.0085682228570268
AggReturn,2019-01-03 00:00:00,8,-0.0105753247591508
AggReturn,2019-01-04 00:00:00,2,-0.0336920459209928
AggReturn,2019-01-04 00:00:00,4,-0.0313390599027452
AggReturn,2019-01-04 00:00:00,6,-0.0296347273729748
AggReturn,2019-01-04 00:00:00,8,-0.0191216962967562
AggReturn,2019-01-07 00:00:00,2,0.0005273759265707
AggReturn,2019-01-07 00:00:00,4,-0.0007541919861002
AggReturn,2019-01-07 00:00:00,6,0.0049951096539836
AggReturn,2019-01-07 00:00:00,8,0.0012768840191117
AggReturn,2019-01-08 00:00:00,2,-0.0473725263085104
AggReturn,2019-01-08 00:00:00,4,-0.0425738030705208
