Field,StrategyOrDate,MOMENTUM_WINDOW,VOLATILITY_WINDOW,Value
Cagr,momentum-score,100,40,0.539412896394408
Cagr,momentum-score,100,80,0.3041506934789777
Cagr,momentum-score,200,40,0.5248709578711792
Cagr,momentum-score,200,80,0.5400728784858813
Sharpe,momentum-score,100,40,1.3371048361988076
Sharpe,momentum-score,100,80,0.8615148847770097
Sharpe,momentum-score,200,40,1.1951798480688123
Sharpe,momentum-score,200,80,1.2285886157076586
MaxDrawdown,momentum-score,100,40,-0.3514214247260089
MaxDrawdown,momentum-score,100,80,-0.4439258717597402
MaxDrawdown,momentum-score,200,40,-0.3319533851672606
MaxDrawdown,momentum-score,200,80,-0.3438445488950953
AbsExposure,momentum-score,100,40,0.9931102362204725
AbsExposure,momentum-score,100,80,0.9931102362204725
AbsExposure,momentum-score,200,40,0.9931102362204725
AbsExposure,momentum-score,200,80,0.9931102362204725
NormalizedCagr,momentum-score,100,40,0.543155106775737
NormalizedCagr,momentum-score,100,80,0.30626075775484773
NormalizedCagr,momentum-score,200,40,0.5285122826532389
NormalizedCagr,momentum-score,200,80,0.5438196675338507
TotalHoldings,momentum-score,100,40,4.844488188976378
TotalHoldings,momentum-score,100,80,4.69488188976378
TotalHoldings,momentum-score,200,40,4.93503937007874
TotalHoldings,momentum-score,200,80,4.951771653543307
AggReturn,2019-01-02 00:00:00,100,40,-0.0104666164495534
AggReturn,2019-01-02 00:00:00,100,80,-0.002814056977864
AggReturn,2019-01-02 00:00:00,200,40,-0.0049796062492461
AggReturn,2019-01-02 00:00:00,200,80,0.0178451017630701
AggReturn,2019-01-03 00:00:00,100,40,-0.0140454502626554
AggReturn,2019-01-03 00:00:00,100,80,-0.0185936707499691
AggReturn,2019-01-03 00:00:00,200,40,-0.0193627353956938
AggReturn,2019-01-03 00:00:00,200,80,-0.0193627353956938
AggReturn,2019-01-04 00:00:00,100,40,-0.0313390599027452
AggReturn,2019-01-04 00:00:00,100,80,-0.042870029778031
AggReturn,2019-01-04 00:00:00,200,40,-0.0134182136899591
AggReturn,2019-01-04 00:00:00,200,80,-0.0134182136899591
AggReturn,2019-01-07 00:00:00,100,40,-0.0007541919861002
AggReturn,2019-01-07 00:00:00,100,80,0.0063021768238868
AggReturn,2019-01-07 00:00:00,200,40,0.0097535179857183
AggReturn,2019-01-07 00:00:00,200,80,0.0097535179857183
AggReturn,2019-01-08 00:00:00,100,40,-0.0425738030705208
AggReturn,2019-01-08 00:00:00,100,80,-0.0458711723802772
AggReturn,2019-01-08 00:00:00,200,40,-0.0335658348180704
AggReturn,2019-01-08 00:00:00,200,80,-0.0335658348180704
AggReturn,2019-01-09 00:00:00,100,40,-0.0402178414538717
AggReturn,2019-01-09 00:00:00,100,80,-0.0143631046599003
AggReturn,2019-01-09 00:00:00,200,40,0.0136661789210229
AggReturn,2019-01-09 00:00:00,200,80,0.0136661789210229
AggReturn,2019-01-10 00:00:00,100,40,0.0372224924978044
AggReturn,2019-01-10 00:00:00,100,80,0.0171307591133073
AggReturn,2019-01-10 00:00:00,200,40,0.009744597358677
AggReturn,2019-01-10 00:00:00,200,80,0.009744597358677
AggReturn,2019-01-11 00:00:00,100,40,0.0386062286109876
AggReturn,2019-01-11 00:00:00,100,80,0.0328820961819247
AggReturn,2019-01-11 00:00:00,200,40,0.0064894504269749
AggReturn,2019-01-11 00:00:00,200,80,0.0064894504269749
AggReturn,2019-01-14 00:00:00,100,40,0.0119708965215295
AggReturn,2019-01-14 00:00:00,100,80,-0.0054547439939843
AggReturn,2019-01-14 00:00:00,200,40,0.0079077417483355
AggReturn,2019-01-14 00:00:00,200,80,0.0079077417483355
AggReturn,2019-01-15 00:00:00,100,40,0.0183065533799597
AggReturn,2019-01-15 00:00:00,100,80,-0.0020321359440482
AggReturn,2019-01-15 00:00:00,200,40,-0.000304445231781
AggReturn,2019-01-15 00:00:00,200,80,-0.000304445231781
AggReturn,2019-01-16 00:00:00,100,40,0.050729971490484
AggReturn,2019-01-16 00:00:00,100,80,0.0313305112431262
AggReturn,2019-01-16 00:00:00,200,40,0.0127344509338068
AggReturn,2019-01-16 00:00:00,200,80,0.0127344509338068
AggReturn,2019-01-17 00:00:00,100,40,0.027863473737182
AggReturn,2019-01-17 00:00:00,100,80,-0.0068304981820482
AggReturn,2019-01-17 00:00:00,200,40,0.0061114839323382
AggReturn,2019-01-17 00:00:00,200,80,0.0061114839323382
AggReturn,2019-01-18 00:00:00,100,40,-0.0556932725254275
AggReturn,2019-01-18 00:00:00,100,80,-0.0411224111707467
AggReturn,2019-01-18 00:00:00,200,40,-0.0653303332036606
AggReturn,2019-01-18 00:00:00,200,80,-0.0653303332036606
AggReturn,2019-01-22 00:00:00,100,40,0.0083552299876272
AggReturn,2019-01-22 00:00:00,100,80,-0.0124589311154389
AggReturn,2019-01-22 00:00:00,200,40,-0.0166374254371928
AggReturn,2019-01-22 00:00:00,200,80,-0.0166374254371928
AggReturn,2019-01-23 00:00:00,100,40,0.014779212270876
AggReturn,2019-01-23 00:00:00,100,80,-0.0035982786082821
AggReturn,2019-01-23 00:00:00,200,40,0.0114680253560553
AggReturn,2019-01-23 00:00:00,200,80,0.0114680253560553
AggReturn,2019-01-24 00:00:00,100,40,0.0078703127486285
AggReturn,2019-01-24 00:00:00,100,80,0.0183995991789513
AggReturn,2019-01-24 00:00:00,200,40,0.0225681031611502
AggReturn,2019-01-24 00:00:00,200,80,0.0225681031611502
AggReturn,2019-01-25 00:00:00,100,40,-0.0014007081779337
AggReturn,2019-01-25 00:00:00,100,80,-0.005252278384949
AggReturn,2019-01-25 00:00:00,200,40,-0.0017153753951535
AggReturn,2019-01-25 00:00:00,200,80,-0.0017153753951535
AggReturn,2019-01-28 00:00:00,100,40,-0.0049192350621747
AggReturn,2019-01-28 00:00:00,100,80,-0.0095394457109733
AggReturn,2019-01-28 00:00:00,200,40,-0.0248183468969448
AggReturn,2019-01-28 00:00:00,200,80,-0.0248183468969448
AggReturn,2019-01-29 00:00:00,100,40,0.0325084138796442
AggReturn,2019-01-29 00:00:00,100,80,0.0316026892481657
AggReturn,2019-01-29 00:00:00,200,40,0.0166427858090373
AggReturn,2019-01-29 00:00:00,200,80,0.0166427858090373
AggReturn,2019-01-30 00:00:00,100,40,0.0145866715678041
AggReturn,2019-01-30 00:00:00,100,80,0.0086578520352111
AggReturn,2019-01-30 00:00:00,200,40,0.0076694449792903
AggReturn,2019-01-30 00:00:00,200,80,0.0076694449792903
AggReturn,2019-01-31 00:00:00,100,40,-0.0123051852977609
AggReturn,2019-01-31 00:00:00,100,80,-0.0216072686349791
AggReturn,2019-01-31 00:00:00,200,40,-0.0234636296045234
AggReturn,2019-01-31 00:00:00,200,80,-0.0234636296045234
AggReturn,2019-02-01 00:00:00,100,40,0.0014877486401792
AggReturn,2019-02-01 00:00:00,100,80,-0.0044646725927056
AggReturn,2019-02-01 00:00:00,200,40,-0.0024454292576216
AggReturn,2019-02-01 00:00:00,200,80,-0.0024415518849377
AggReturn,2019-02-04 00:00:00,100,40,-0.0341761941140503
AggReturn,2019-02-04 00:00:00,100,80,-0.0341761941140503
AggReturn,2019-02-04 00:00:00,200,40,-0.0209734247272678
AggReturn,2019-02-04 00:00:00,200,80,-0.0034707165508625
AggReturn,2019-02-05 00:00:00,100,40,0.0084666641573874
AggReturn,2019-02-05 00:00:00,100,80,0.0084666641573874
AggReturn,2019-02-05 00:00:00,200,40,-0.0007152572608008
AggReturn,2019-02-05 00:00:00,200,80,0.0157371963436905
AggReturn,2019-02-06 00:00:00,100,40,-0.0180600390966523
AggReturn,2019-02-06 00:00:00,100,80,-0.0180600390966523
AggReturn,2019-02-06 00:00:00,200,40,-0.0216918896374702
AggReturn,2019-02-06 00:00:00,200,80,0.0018323949419836
AggReturn,2019-02-07 00:00:00,100,40,0.0349520216761516
AggReturn,2019-02-07 00:00:00,100,80,0.0349520216761516
AggReturn,2019-02-07 00:00:00,200,40,0.0293660776690084
AggReturn,2019-02-07 00:00:00,200,80,-0.0022510429650653
AggReturn,2019-02-08 00:00:00,100,40,0.0268592631655991
AggReturn,2019-02-08 00:00:00,100,80,0.0268592631655991
AggReturn,2019-02-08 00:00:00,200,40,0.0065208557893325
AggReturn,2019-02-08 00:00:00,200,80,0.019910964628346
AggReturn,2019-02-11 00:00:00,100,40,0.034284612204757
AggReturn,2019-02-11 00:00:00,100,80,0.034284612204757
AggReturn,2019-02-11 00:00:00,200,40,-0.0201824289286908
AggReturn,2019-02-11 00:00:00,200,80,-0.001457608055183
AggReturn,2019-02-12 00:00:00,100,40,0.0031303231586071
AggReturn,2019-02-12 00:00:00,100,80,0.0031303231586071
AggReturn,2019-02-12 00:00:00,200,40,-0.0108290971000042
AggReturn,2019-02-12 00:00:00,200,80,-0.0108473650779705
AggReturn,2019-02-13 00:00:00,100,40,-0.0013529850742035
AggReturn,2019-02-13 00:00:00,100,80,-0.0013529850742035
AggReturn,2019-02-13 00:00:00,200,40,-0.0092722824502587
AggReturn,2019-02-13 00:00:00,200,80,-0.0027253148555252
AggReturn,2019-02-14 00:00:00,100,40,-0.0055371285991088
AggReturn,2019-02-14 00:00:00,100,80,-0.0055371285991088
AggReturn,2019-02-14 00:00:00,200,40,-0.0435826400196808
AggReturn,2019-02-14 00:00:00,200,80,-0.0010525454619993
AggReturn,2019-02-15 00:00:00,100,40,0.029415730637053
AggReturn,2019-02-15 00:00:00,100,80,0.029415730637053
AggReturn,2019-02-15 00:00:00,200,40,0.039371328410773
AggReturn,2019-02-15 00:00:00,200,80,-0.0197112939591617
AggReturn,2019-02-19 00:00:00,100,40,-0.0723988051083132
AggReturn,2019-02-19 00:00:00,100,80,-0.0723988051083132
AggReturn,2019-02-19 00:00:00,200,40,-0.0090534048769838
AggReturn,2019-02-19 00:00:00,200,80,-0.069415462792747
AggReturn,2019-02-20 00:00:00,100,40,-0.0048847170362787
AggReturn,2019-02-20 00:00:00,100,80,-0.0048847170362787
AggReturn,2019-02-20 00:00:00,200,40,0.0296673699615629
AggReturn,2019-02-20 00:00:00,200,80,-0.0165943435888289
AggReturn,2019-02-21 00:00:00,100,40,0.0344459377274504
AggReturn,2019-02-21 00:00:00,100,80,0.0344459377274504
AggReturn,2019-02-21 00:00:00,200,40,-0.0109482405992743
AggReturn,2019-02-21 00:00:00,200,80,0.027991212548984
AggReturn,2019-02-22 00:00:00,100,40,0.0261995518885573
AggReturn,2019-02-22 00:00:00,100,80,0.0261995518885573
AggReturn,2019-02-22 00:00:00,200,40,0.0023205245177422
AggReturn,2019-02-22 00:00:00,200,80,0.0242439238304158
AggReturn,2019-02-25 00:00:00,100,40,0.0141179217886979
AggReturn,2019-02-25 00:00:00,100,80,0.0141179217886979
AggReturn,2019-02-25 00:00:00,200,40,-0.0046892260158488
AggReturn,2019-02-25 00:00:00,200,80,0.008004708819628
AggReturn,2019-02-26 00:00:00,100,40,-0.0225801527969271
AggReturn,2019-02-26 00:00:00,100,80,-0.0225801527969271
AggReturn,2019-02-26 00:00:00,200,40,0.0216130668126721
AggReturn,2019-02-26 00:00:00,200,80,0.0145628097385057
AggReturn,2019-02-27 00:00:00,100,40,0.0109747253059292
AggReturn,2019-02-27 00:00:00,100,80,0.0109747253059292
AggReturn,2019-02-27 00:00:00,200,40,-0.0199172003747989
AggReturn,2019-02-27 00:00:00,200,80,0.0122659219881414
AggReturn,2019-02-28 00:00:00,100,40,0.0030260068517758
AggReturn,2019-02-28 00:00:00,100,80,0.0030260068517758
AggReturn,2019-02-28 00:00:00,200,40,-0.0103358629361728
AggReturn,2019-02-28 00:00:00,200,80,0.0036899165927322
AggReturn,2019-03-01 00:00:00,100,40,0.0043475875663263
AggReturn,2019-03-01 00:00:00,100,80,0.0043486445820608
AggReturn,2019-03-01 00:00:00,200,40,0.0131092477032951
AggReturn,2019-03-01 00:00:00,200,80,0.0042491441808143
AggReturn,2019-03-04 00:00:00,100,40,-0.0058575552780792
AggReturn,2019-03-04 00:00:00,100,80,0.004828091806056
AggReturn,2019-03-04 00:00:00,200,40,-0.0117577397085757
AggReturn,2019-03-04 00:00:00,200,80,-0.0085029435781093
AggReturn,2019-03-05 00:00:00,100,40,-0.0018143393629407
AggReturn,2019-03-05 00:00:00,100,80,-0.0193027568974597
AggReturn,2019-03-05 00:00:00,200,40,0.02454665367607
AggReturn,2019-03-05 00:00:00,200,80,-0.0313487660220614
AggReturn,2019-03-06 00:00:00,100,40,0.0099118372393813
AggReturn,2019-03-06 00:00:00,100,80,0.0056391792205291
AggReturn,2019-03-06 00:00:00,200,40,0.009301104690344
AggReturn,2019-03-06 00:00:00,200,80,0.0069898234174264
AggReturn,2019-03-07 00:00:00,100,40,0.0046000246003335
AggReturn,2019-03-07 00:00:00,100,80,0.0097169020813564
AggReturn,2019-03-07 00:00:00,200,40,-0.0116013711308482
AggReturn,2019-03-07 00:00:00,200,80,-0.0002305509658062
